Sku,,Description,Image,Category,Brand,Price,Stock
K1PD06,Dorman Smith MCB K Series Type D SP 6A 10Ka K1PD06,"Exceeds the requirements of EN 60898
10kA rated to the requirements of EN 60898
15kA rated to the requirements of EN 60947
Contact position indicator
Maximum cable termination: 35mm²
Width: 17.5mm",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500328731/FULL,MCBs,Dorman Smith,10.52,123
K1PD10,Dorman Smith MCB K Series Type D SP 10A 10Ka K1PD10,,https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500328732/FULL,MCBs,Dorman Smith,9.85,123
K1PD16,Dorman Smith MCB K Series Type D SP 16A 10Ka K1PD16,,https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500328737/FULL,MCBs,Dorman Smith,9.85,123
K1PD20,Dorman Smith MCB K Series Type D SP 20A 10Ka K1PD20,"Dorman Loadlimiter 63 Miniature Circuit Breaker suitable for TP and N distribution boards. It exceeds the requirements of EN 60898 standards, the maximum cable termination of 35mm² and 81mm high current MCB width.

· Contact position indicator
· Maximum cable termination of 35mm²
· 10kA rated to the requirements of EN 60898
· 15kA rated to the requirements of EN 60947",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500328739/FULL,MCBs,Dorman Smith,9.85,123
K1PD25,Dorman Smith MCB K Series Type D 10/15kA 25a K1PD25,"Exceeds the requirements of EN 60898
10kA rated to the requirements of EN 60898
15kA rated to the requirements of EN 60947
Contact position indicator
Maximum cable termination: 35mm²
Width: 17.5mm",https://storage.electrika.com/manu/man-0160/picsprod/1pole_1_8xdg9k.jpg;https://storage.electrika.com/manu/man-0160/picsprodmedium/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,16.04,123
K1PD32,Dorman Smith MCB K Series Type D SP 32A 10Ka K1PD32,"Exceeds the requirements of EN 60898
10kA rated to the requirements of EN 60898
15kA rated to the requirements of EN 60947
Contact position indicator
Maximum cable termination: 35mm²
Width: 17.5mm",https://storage.electrika.com/manu/man-0160/picsprodmedium/1pole_1_8xdg9k.jpg;https://storage.electrika.com/manu/man-0160/picsprodmedium/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,10.41,123
T1PD40,Dorman Smith MCB T Series Type D SP 40A T1PD40,"6kA rated to the requirements of EN 60898
10kA rated to the requirements of EN 60947
Contact position indicator
Maximum cable termination: 35mm²
Width: 17.5mm
* Please be advised that the ""T"" series MCBs look physically different to the K series.",https://storage.electrika.com/manu/man-0160/picsprod/1pole_1_8xdg9k.jpg;https://storage.electrika.com/manu/man-0160/picsprodmedium/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,16.90,123
T1PD50,Dorman Smith MCB T Series Type D SP 50A T1PD50,MCB T Series Type D SP 50A,https://storage.electrika.com/manu/man-0160/picsprod/1pole_1_8xdg9k.jpg;https://storage.electrika.com/manu/man-0160/picsprodmedium/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,18.31,123
T1PD63,Dorman Smith MCB T Series Type D SP 63A T1PD63,MCB T Series Type D SP 63A,https://storage.electrika.com/manu/man-0160/picsprod/1pole_1_8xdg9k.jpg;https://storage.electrika.com/manu/man-0160/picsprodmedium/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,18.31,123
PB204YB1,Dorman Smith Loadbank YB1 4 way 250A panel board PB204YB1,"The Loadbank 250 modular enclosure system is engineered to provide the unrivalled flexibility and build simplicity needed in order to produce a wide range of power distribution solutions. It consists of TP&N busbars of 400A and 800A with three different sizes of 6, 12 or 18 outgoing ways.

This range houses the incoming and outgoing devices in separate adjoining enclosures which then allows the widest range of possible circuit permutations, including oversized outgoing circuits, which can then be accommodated within a common format.

Incoming options range from 250A MCCBs to 800A switch fuses depending on the board. There is a single frame size MCCB for outgoing devices which is the YB3 frame MCCB up to 250A.

The standard finish is epoxy powder coating in light grey RAL 7035.

Compliance
• Panel Boards EN 61439-1
• MCCBs EN 60947-2",http://dormansmithswitchgear.com/wp/wp-content/uploads/2014/10/loadbank250_main.jpg,Panel Boards,Dorman Smith,644.16,123
