SKU,Title,Description,Price,Category,Stock,Brand
LE1-D123N7,Europa ABS Enclosed 2 Button DOL (IP65) LE1-D123N7,"Overload Relays must be ordered separately , H:150 x W:88 x D:120mm",56.465,Starters,100,Europa Components
LC1-F1854A-A65,Europa 4 Pole / 4 Normally Open Contactors LC1-F1854A-A65,"Made in China, Maximum rated operational voltage 690V, Supplied with incoming and outgoing shrouds, Coil to be ordered separately",963.608,Contactors,100,Europa Components
LC1-F1154A-A65,Europa 4 Pole / 4 Normally Open Contactors LC1-F1154A-A65,"Made in China, Maximum rated operational voltage 690V, Supplied with incoming and outgoing shrouds, Coil to be ordered separately",497.1795,Contactors,100,Europa Components
LBTS230,Europa Terminal Shrouds for Safe Switch Range LBTS230,"To provide IP20 terminal protection on the input and output terminals, Transparent terminal shrouds to assist in maintenance and inspection",14.952,Enclosures & Accessories,100,Europa Components
LBTS140,Europa Terminal Shrouds for Safe Switch Range LBTS140,"To provide IP20 terminal protection on the input and output terminals, Transparent terminal shrouds to assist in maintenance and inspection",24.5385,Enclosures & Accessories,100,Europa Components
LBTS130,Europa Terminal Shrouds for Safe Switch Range LBTS130,"To provide IP20 terminal protection on the input and output terminals, Transparent terminal shrouds to assist in maintenance and inspection",49.791,Enclosures & Accessories,100,Europa Components
LBTS070,Europa Terminal Shrouds for Safe Switch Range LBTS070,"To provide IP20 terminal protection on the input and output terminals, Transparent terminal shrouds to assist in maintenance and inspection",24.8325,Enclosures & Accessories,100,Europa Components
LBTS040,Europa Terminal Shrouds for Safe Switch Range LBTS040,"To provide IP20 terminal protection on the input and output terminals, Transparent terminal shrouds to assist in maintenance and inspection",16.338,Enclosures & Accessories,100,Europa Components
LBPM1003P,Europa Panel Mount Switch-Disconnector LBPM1003P,"IEC & EN 60947-3, Padlockable in the OFF position for added security (For up to 3 padlocks), Use rubber gasket (LBGASKET)  for IP65 rating - Sold separately, AC-22 switch ratings",44.2656,Switch Disconnectors,100,Europa Components
LBNLTS250A,Europa Neutral Link Terminal Shrouds for Safe Switch Range LBNLTS250A,"Neutral link terminal shrouds, Material: Polyamide 6, Flammability: UL94-VO, IP Rating: Neutral link plus shroud IP2X",25.074,Switchgear & Distribution,100,Europa Components
LBGASKET,Europa Rubber Gasket LBGASKET,For use with panel mount & door interlock devices to improve ingress protection rating to IP65 on OEM installations,2.014,Switchgear & Distribution,100,Europa Components
LBFD8003PSN,Europa 3 Pole + Sw. Neutral Door Interlocked BS88 Switch Fuses LBFD8003PSN,,1857.807,Enclosures & Accessories,100,Europa Components
LBFD2003PSN,Europa 3 Pole + Sw. Neutral Door Interlocked BS88 Switch Fuses LBFD2003PSN,"Handle padlockable in the OFF position, Handle with defeat mechanism, Fuses fully isolated (Top & bottom) for safe replacement, Fuse covers fitted, Supplied with IP65 door handle and shaft, Lug terminals, Terminal shrouds sold separately",625.002,Enclosures & Accessories,100,Europa Components
LBFD1603PSN,Europa 3 Pole + Sw. Neutral Door Interlocked BS88 Switch Fuses LBFD1603PSN,"Handle padlockable in the OFF position, Handle with defeat mechanism, Fuses fully isolated (Top & bottom) for safe replacement, Fuse covers fitted, Supplied with IP65 door handle and shaft, Lug terminals, Terminal shrouds sold separately",614.649,Enclosures & Accessories,100,Europa Components
LBF1253PSNME,Europa 3 Pole + Sw. Neutral Metal Enclosed BS88 Switch Fuses (IP65) LBF1253PSNME,"IP65, RAL 7035, Handle padlockable in the OFF position, 3 position switch (centre OFF), Switched neutral contact (early make/late break), Top & bottom gland plates, Door interlock with defeat mechanism, Lug terminals, H:500 x W:400 x D:200mm",734.265,Enclosures & Accessories,100,Europa Components
LBES020,Europa Extended Shaft for Safe Switch Range LBES020,"Specially designed for use with the Safe Switch range of door interlocked switch-disconnector, BS88 switch fuse and changeover  switches., These extended shafts assist the installation of the switches into deep enclosures and panel boards.",18.1965,Enclosures & Accessories,100,Europa Components
LBES010,Europa Extended Shaft for Safe Switch Range LBES010,"Specially designed for use with the Safe Switch range of door interlocked switch-disconnector, BS88 switch fuse and changeover  switches., These extended shafts assist the installation of the switches into deep enclosures and panel boards.",16.4535,Enclosures & Accessories,100,Europa Components
LBDI806P,Europa 6 Pole Door Interlock with Metal Shaft LBDI806P,"Padlockable in the OFF position, Rear mount or snap on din rail mount (35mm), Shaft Length 94mm, Shaft 8mm across flats (Hexagonal), Use rubber gasket (LBGASKET)  for IP65 rating, AC-22 switch rating, Shaft can be cut down",100.011,Panel Isolator,100,Europa Components
LBDI636P,Europa 6 Pole Door Interlock with Metal Shaft LBDI636P,"Padlockable in the OFF position, Rear mount or snap on din rail mount (35mm), Shaft Length 94mm, Shaft 8mm across flats (Hexagonal), Use rubber gasket (LBGASKET)  for IP65 rating, AC-22 switch rating, Shaft can be cut down",68.6138,Panel Isolator,100,Europa Components
LBDI633P,Europa 3 Pole Door Interlock with Metal Shaft LBDI633P,"Padlockable in the OFF position, Rear mount or snap on din rail mount (35mm), Shaft Length 282mm, Shaft 8mm across flats (Hexagonal) / length 282mm, Use rubber gasket (LBGASKET)  for IP65 rating, AC-22 switch rating, Shaft can be cut down",37.3226,Panel Isolator,100,Europa Components
LBDI403P,Europa 3 Pole Door Interlock with Metal Shaft LBDI403P,"Padlockable in the OFF position, Rear mount or snap on din rail mount (35mm), Shaft Length 282mm, Shaft 8mm across flats (Hexagonal) / length 282mm, Use rubber gasket (LBGASKET)  for IP65 rating, AC-22 switch rating, Shaft can be cut down",32.3406,Panel Isolator,100,Europa Components
LBDI326P,Europa 6 Pole Door Interlock with Metal Shaft LBDI326P,"Padlockable in the OFF position, Rear mount or snap on din rail mount (35mm), Shaft Length 94mm, Shaft 8mm across flats (Hexagonal), Use rubber gasket (LBGASKET)  for IP65 rating, AC-22 switch rating, Shaft can be cut down",61.5012,Panel Isolator,100,Europa Components
LBDI323P,Europa 3 Pole Door Interlock with Metal Shaft LBDI323P,"Padlockable in the OFF position, Rear mount or snap on din rail mount (35mm), Shaft Length 282mm, Shaft 8mm across flats (Hexagonal) / length 282mm, Use rubber gasket (LBGASKET)  for IP65 rating, AC-22 switch rating, Shaft can be cut down",29.1394,Panel Isolator,100,Europa Components
LBDI256P,Europa 6 Pole Door Interlock with Metal Shaft LBDI256P,"Padlockable in the OFF position, Rear mount or snap on din rail mount (35mm), Shaft Length 94mm, Shaft 8mm across flats (Hexagonal), Use rubber gasket (LBGASKET)  for IP65 rating, AC-22 switch rating, Shaft can be cut down",55.4592,Panel Isolator,100,Europa Components
LBDI253P,Europa 3 Pole Door Interlock with Metal Shaft LBDI253P,"Padlockable in the OFF position, Rear mount or snap on din rail mount (35mm), Shaft Length 282mm, Shaft 8mm across flats (Hexagonal) / length 282mm, Use rubber gasket (LBGASKET)  for IP65 rating, AC-22 switch rating, Shaft can be cut down",24.3164,Panel Isolator,100,Europa Components
LBDI1253P,Europa 3 Pole Door Interlock with Metal Shaft LBDI1253P,"Padlockable in the OFF position, Rear mount or snap on din rail mount (35mm), Shaft Length 282mm, Shaft 8mm across flats (Hexagonal) / length 282mm, Use rubber gasket (LBGASKET)  for IP65 rating, AC-22 switch rating, Shaft can be cut down",59.2116,Panel Isolator,100,Europa Components
LBDI1003P,Europa 3 Pole Door Interlock with Metal Shaft LBDI1003P,"Padlockable in the OFF position, Rear mount or snap on din rail mount (35mm), Shaft Length 282mm, Shaft 8mm across flats (Hexagonal) / length 282mm, Use rubber gasket (LBGASKET)  for IP65 rating, AC-22 switch rating, Shaft can be cut down",51.6326,Panel Isolator,100,Europa Components
LBD8003PSN,Europa 3 Pole + Sw. Neutral Door Interlocked Switch-Disconnectors LBD8003PSN,"EN 60947-3, Supplied with IP56 door handle and saft, Handle padlockable in the OFF position (up to 3 padlocks), Handle with defeat mechanism (for authorised personnel only), Terminal shrouds sold seperately, All AC ratings 400V (415V), Lug Terminals",868.8645,Panel Isolator,100,Europa Components
LBD6303P,Europa 3 Pole Door Interlocked Switch-Disconnectors LBD6303P,"EN 60947-3, Supplied with IP65 door handle and shaft, Handle padlockable in the OFF position for up to 3 padlocks, Handle with defeat mechanism (for authorised personnel only) , Terminal shrouds sold separately, All AC ratings 400V (415V), Lug Terminals",491.379,Panel Isolator,100,Europa Components
LBD2503P,Europa 3 Pole Door Interlocked Switch-Disconnectors LBD2503P,"EN 60947-3, Supplied with IP65 door handle and shaft, Handle padlockable in the OFF position for up to 3 padlocks, Handle with defeat mechanism (for authorised personnel only) , Terminal shrouds sold separately, All AC ratings 400V (415V), Lug Terminals",216.174,Panel Isolator,100,Europa Components
LBD10003PSN,Europa 3 Pole + Sw. Neutral Door Interlocked Switch-Disconnectors LBD10003PSN,"EN 60947-3, Supplied with IP56 door handle and saft, Handle padlockable in the OFF position (up to 3 padlocks), Handle with defeat mechanism (for authorised personnel only), Terminal shrouds sold seperately, All AC ratings 400V (415V), Lug Terminals",1470.945,Panel Isolator,100,Europa Components
LBCD8003PSN,Europa 3 Pole + Sw. Neutral Door Interlocked Changeover Switches LBCD8003PSN,"C/w IP65 door handle and shaft, Handle padlockable in the OFF position, Handle with defeat mechanism, Neutral switch contact early make / late break, Terminal shrouds supplied separately, Break before make 3 position switch - centre OFF, Lug terminals",1917.489,Panel Isolator,100,Europa Components
LBCD6303PSN,Europa 3 Pole + Sw. Neutral Door Interlocked Changeover Switches LBCD6303PSN,"C/w IP65 door handle and shaft, Handle padlockable in the OFF position, Handle with defeat mechanism, Neutral switch contact early make / late break, Terminal shrouds supplied separately, Break before make 3 position switch - centre OFF, Lug terminals",1410.969,Panel Isolator,100,Europa Components
LBCD4003PSN,Europa 3 Pole + Sw. Neutral Door Interlocked Changeover Switches LBCD4003PSN,"C/w IP65 door handle and shaft, Handle padlockable in the OFF position, Handle with defeat mechanism, Neutral switch contact early make / late break, Terminal shrouds supplied separately, Break before make 3 position switch - centre OFF, Lug terminals",971.901,Panel Isolator,100,Europa Components
LBCD3153PSN,Europa 3 Pole + Sw. Neutral Door Interlocked Changeover Switches LBCD3153PSN,"C/w IP65 door handle and shaft, Handle padlockable in the OFF position, Handle with defeat mechanism, Neutral switch contact early make / late break, Terminal shrouds supplied separately, Break before make 3 position switch - centre OFF, Lug terminals",859.719,Panel Isolator,100,Europa Components
LBCD2503PSN,Europa 3 Pole + Sw. Neutral Door Interlocked Changeover Switches LBCD2503PSN,"C/w IP65 door handle and shaft, Handle padlockable in the OFF position, Handle with defeat mechanism, Neutral switch contact early make / late break, Terminal shrouds supplied separately, Break before make 3 position switch - centre OFF, Lug terminals",748.7865,Panel Isolator,100,Europa Components
LBAC16RM2NO,Europa Volt Free Contact LBAC16RM2NO,"IEC & EN60947-3, Rear mount for door interlocked & enclosed switch-disconnectors, Volt free contacts rated at AC-15 6A 230V / 4A 415V, Maximum terminal capacity 1.5mm2",8.2044,Panel Isolator,100,Europa Components
LBAC16RM,Europa Volt Free Contact LBAC16RM,"IEC & EN60947-3, Rear mount for door interlocked & enclosed switch-disconnectors, Volt free contacts rated at AC-15 6A 230V / 4A 415V, Maximum terminal capacity 1.5mm2",8.2044,Panel Isolator,100,Europa Components
LBAC040,Europa Auxiliary Contacts for Safe Switch Range LBAC040,"Complete with fixings, 16A resistive loads, 4A inductive loads at 240V AC",48.321,Panel Isolator,100,Europa Components
LBAC030,Europa Auxiliary Contacts for Safe Switch Range LBAC030,"Complete with fixings, 16A resistive loads, 4A inductive loads at 240V AC",18.5955,Panel Isolator,100,Europa Components
LBAC020,Europa Auxiliary Contacts for Safe Switch Range LBAC020,"Complete with fixings, 16A resistive loads, 4A inductive loads at 240V AC",42.651,Panel Isolator,100,Europa Components
LB636P,Europa 6 Pole Steel Enclosed Switch-Disconnectors (IP65) LB636P,"IP65, IEC & EN 60947-3, Padlockable in the OFF position for added security (For up to 3 padlocks), Epoxy powder coated steel RAL 7035, 63A upwards bottom gland plate only, All switch ratings at AC-22 - See page  for technical data, H:400 x W:300 x D:200mm",168.3386,Switch Disconnectors,100,Europa Components
LB634P,Europa 4 Pole Switch Disconnector (IP65) LB634P,"IP65, 25mm cable entries, Robust polycarbonate enclosure, UV resistant, Enclosure glow wire flammability rating 960°C, Halogen free, Lower smoke generation, Padlockable in the OFF position, AC-21 Switch Rating, H:175 x W:125 x D:90mm",33.6515,Switch Disconnectors,100,Europa Components
LB324PBB,Europa 4 Pole Larger Enclosured Switch-Disconnector (IP65) LB324PBB,"IP65, 25mm cable entries, Robust resilient polycarbonate enclosure, UV resistant, Enclosure glow wire flammability rating 960°C, Padlockable in the OFF position for added security, AC-21 Switch Rating, H:175 x W:125 x D:90mm",33.4589,Switch Disconnectors,100,Europa Components
LB324P,Europa 4 Pole Enclosed Switch-Disconnectors (IP65) LB324P,"IP65, 20mm cable entries, Robust polycarbonate enclosure, UV resistant, Enclosure glow wire flammability rating 960°C, Halogen free, Lower smoke generation, Padlockable in the OFF position, AC-21 Switch Rating, H:125 x W:100 x D:74mm",22.9836,Switch Disconnectors,100,Europa Components
LB323P,Europa 3 Pole Enclosed Switch-Disconnectors (IP65) LB323P,"IP65, 20mm Cable Entries, Robust Polycarbonate, UV Resistant, Enclosure Glow Wire flammability Rating 960°C, Halogen Free, Lower Smoke Generation, Padlockable in the OFF Position, H:125 x W:100 x D:74mm",23.9787,Switch Disconnectors,100,Europa Components
LB263MAINPOLE,Europa Main Pole (Rear Mounting) LB263MAINPOLE,"IEC & EN 60947-3, Main pole for when an additional pole is required, Rear mount for door interlock and enclosed switch-disconnectors, AC-22 switch rating",5.2576,Contact Blocks,100,Europa Components
LB263AUXEM,Europa Neutral Pole (Early Make Late Break) LB263AUXEM,"IEC & EN 60947-3, Neutral pole / fully rated, Rear mount for door interlock and enclosed switch-disconnectors, Colour coded in blue for easy identification, AC-22 switch rating",5.2576,Contact Blocks,100,Europa Components
LB254PBB,Europa 4 Pole Larger Enclosured Switch-Disconnector (IP65) LB254PBB,"IP65, 25mm cable entries, Robust resilient polycarbonate enclosure, UV resistant, Enclosure glow wire flammability rating 960°C, Padlockable in the OFF position for added security, AC-21 Switch Rating, H:175 x W:125 x D:90mm",28.0875,Contact Blocks,100,Europa Components
LB2125AUXEM,Europa Neutral Pole (Early Make Late Break) LB2125AUXEM,"IEC & EN 60947-3, Neutral pole / fully rated, Rear mount for door interlock and enclosed switch-disconnectors, Colour coded in blue for easy identification, AC-22 switch rating",12.6034,Contact Blocks,100,Europa Components
LB204P,Europa 4 Pole Switch Disconnector (IP65) LB204P,"IP65, 20mm cable entries, Robust polycarbonate enclosure, UV resistant, Enclosure glow wire flammability rating 960°C, Halogen free, Lower smoke generation, Padlockable in the OFF position, AC-21 Switch Rating, H:125 x W:100 x D:74mm",17.6015,Switch Disconnector,100,Europa Components
LB203PSN,Europa 3 Pole + Sw. Neutral Enclosed Switch-Disconnectors (IP65) LB203PSN,"IP65, Robust polycarbonate enclosure, UV Resistant, glow wire flammability rating 960 degree celcious, Halogen free, Lower smoke generation, Padlockable in the OFF position, Neutral contacts must be used when switching the neutral,H:125 x W:100 x D:74mm",17.6015,Switch Disconnector,100,Europa Components
LB1603PNLME,Europa 3 Pole + Neutral Link Steel Enclosed Switch-Disconnectors (IP65) LB1603PNLME,"IP65, Epoxy Coated Steel Enclosure, RAL 7035, Handle padlockable in the OFF position, Top & bottom gland plates, Fully rated neutral link, Door interlock with defeat mechanism, Tunnel Terminals, H:500 x W:400 x D:200mm",428.9145,Switch Disconnector,100,Europa Components
LB1254P,Europa 4 Pole Enclosed Switch-Disconnectors (IP65) LB1254P,"IP65, 25mm cable entries, Robust polycarbonate enclosure, UV resistant, Enclosure glow wire flammability rating 960°C, Halogen free, Lower smoke generation, Padlockable in the OFF position, AC-22 Switch Rating, H:280 x W:190 x D:130mm",112.4784,Switch Disconnector,100,Europa Components
LB1253PSN,Europa 3 Pole + Sw. Neutral Enclosed Switch-Disconnectors (IP65) LB1253PSN,"IP65, Robust polycarbonate enclosure, UV Resistant, glow wire flammability rating 960 degree celcious, Halogen free, Lower smoke generation, Padlockable in the OFF position, Neutral contacts must be used when switching the neutral, H:280 x W:190 x D:130mm",112.4784,Switch Disconnector,100,Europa Components
